gradeSystem,discipline,rawGrade,systemOrder,difficultyScore,confidence,note
YDS,GYM,3rd,-3.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,4th,-2.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,Easy 5th,-1.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.0,0.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.1,1.0,21.03,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.2,2.0,23.06,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.3,3.0,25.09,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.4,4.0,27.12,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.5,5.0,29.15,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.6,6.0,31.18,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.7,7.0,33.21,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.7+,7.3,33.88,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.8-,7.7,34.56,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.8,8.0,35.24,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.8+,8.3,35.91,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.9-,8.7,36.57,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.9,9.0,37.19,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.9+,9.3,37.81,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10a,10.0,39.06,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10-,10.0,39.06,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10a/b,10.125,40.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10b,10.25,40.78,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10b/c,10.375,41.56,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10,10.375,41.56,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10c,10.5,42.34,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10c/d,10.625,43.13,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10+,10.625,43.13,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.10d,10.75,43.91,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11a,11.0,45.47,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11-,11.0,45.47,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11a/b,11.125,46.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11b,11.25,47.68,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11b/c,11.375,49.11,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11,11.375,49.11,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11c,11.5,50.54,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11c/d,11.625,51.96,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11+,11.625,51.96,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.11d,11.75,53.39,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12a,12.0,56.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12-,12.0,56.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12a/b,12.125,57.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12b,12.25,58.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12b/c,12.375,60.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12,12.375,60.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12c,12.5,61.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12c/d,12.625,62.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12+,12.625,62.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.12d,12.75,63.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13a,13.0,66.8,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13-,13.0,66.8,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13a/b,13.125,68.6,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13b,13.25,70.4,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13b/c,13.375,72.2,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13,13.375,72.2,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13c,13.5,74.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13c/d,13.625,76.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13+,13.625,76.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.13d,13.75,79.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14a,14.0,84.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14-,14.0,84.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14a/b,14.125,86.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14b,14.25,89.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14b/c,14.375,90.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14,14.375,90.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14c,14.5,92.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14c/d,14.625,94.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14+,14.625,94.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.14d,14.75,96.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15a,15.0,97.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15-,15.0,97.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15a/b,15.125,98.63,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15b,15.25,99.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15b/c,15.375,100.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15,15.375,100.25,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15c,15.5,101.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15c/d,15.625,101.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15+,15.625,101.75,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,GYM,5.15d,15.75,102.5,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
YDS,SPORT,3rd,-3.0,12.5,0.8,MP class string (scramble)
YDS,SPORT,4th,-2.0,15.0,0.8,MP class string (exposed scramble)
YDS,SPORT,Easy 5th,-1.0,17.5,0.8,MP class string (~5.0-5.2)
YDS,SPORT,5.0,0.0,20.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.1,1.0,22.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.2,2.0,25.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.3,3.0,27.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.4,4.0,30.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.5,5.0,32.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.6,6.0,35.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.7,7.0,37.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.7+,7.3,38.33,0.9,MP-export +/- variant; one third of a rung
YDS,SPORT,5.8-,7.7,39.17,0.9,MP-export +/- variant; one third of a rung
YDS,SPORT,5.8,8.0,40.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.8+,8.3,40.83,0.9,MP-export +/- variant; one third of a rung
YDS,SPORT,5.9-,8.7,41.67,0.9,MP-export +/- variant; one third of a rung
YDS,SPORT,5.9,9.0,42.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.9+,9.3,43.33,0.9,MP-export +/- variant; one third of a rung
YDS,SPORT,5.10a,10.0,45.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.10-,10.0,45.0,0.95,pinned to 5.Na; sources split between 5.Na and 5.Na/b
YDS,SPORT,5.10a/b,10.125,46.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.10b,10.25,47.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.10b/c,10.375,48.75,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.10,10.375,48.75,0.95,MP: plain 5.N = 5.Nb/c
YDS,SPORT,5.10c,10.5,50.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.10c/d,10.625,51.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.10+,10.625,51.25,0.95,MP: 5.N+ = 5.Nc/d
YDS,SPORT,5.10d,10.75,52.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.11a,11.0,55.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.11-,11.0,55.0,0.95,pinned to 5.Na; sources split between 5.Na and 5.Na/b
YDS,SPORT,5.11a/b,11.125,56.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.11b,11.25,57.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.11b/c,11.375,58.75,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.11,11.375,58.75,0.95,MP: plain 5.N = 5.Nb/c
YDS,SPORT,5.11c,11.5,60.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.11c/d,11.625,61.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.11+,11.625,61.25,0.95,MP: 5.N+ = 5.Nc/d
YDS,SPORT,5.11d,11.75,62.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.12a,12.0,65.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.12-,12.0,65.0,0.95,pinned to 5.Na; sources split between 5.Na and 5.Na/b
YDS,SPORT,5.12a/b,12.125,66.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.12b,12.25,67.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.12b/c,12.375,68.75,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.12,12.375,68.75,0.95,MP: plain 5.N = 5.Nb/c
YDS,SPORT,5.12c,12.5,70.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.12c/d,12.625,71.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.12+,12.625,71.25,0.95,MP: 5.N+ = 5.Nc/d
YDS,SPORT,5.12d,12.75,72.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.13a,13.0,75.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.13-,13.0,75.0,0.95,pinned to 5.Na; sources split between 5.Na and 5.Na/b
YDS,SPORT,5.13a/b,13.125,76.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.13b,13.25,77.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.13b/c,13.375,78.75,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.13,13.375,78.75,0.95,MP: plain 5.N = 5.Nb/c
YDS,SPORT,5.13c,13.5,80.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.13c/d,13.625,81.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.13+,13.625,81.25,0.95,MP: 5.N+ = 5.Nc/d
YDS,SPORT,5.13d,13.75,82.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.14a,14.0,85.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.14-,14.0,85.0,0.95,pinned to 5.Na; sources split between 5.Na and 5.Na/b
YDS,SPORT,5.14a/b,14.125,86.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.14b,14.25,87.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.14b/c,14.375,88.75,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.14,14.375,88.75,0.95,MP: plain 5.N = 5.Nb/c
YDS,SPORT,5.14c,14.5,90.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.14c/d,14.625,91.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.14+,14.625,91.25,0.95,MP: 5.N+ = 5.Nc/d
YDS,SPORT,5.14d,14.75,92.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.15a,15.0,95.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.15-,15.0,95.0,0.95,pinned to 5.Na; sources split between 5.Na and 5.Na/b
YDS,SPORT,5.15a/b,15.125,96.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.15b,15.25,97.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.15b/c,15.375,98.75,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.15,15.375,98.75,0.95,MP: plain 5.N = 5.Nb/c
YDS,SPORT,5.15c,15.5,100.0,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
YDS,SPORT,5.15c/d,15.625,101.25,1.0,letter-boundary slash grade (MP chart)
YDS,SPORT,5.15+,15.625,101.25,0.95,MP: 5.N+ = 5.Nc/d
YDS,SPORT,5.15d,15.75,102.5,1.0,axis anchor; consensus of MP/Wikipedia/ClimbingHouse/Sendy/Bergfreunde
FRENCH_SPORT,GYM,1,1.0,19.0,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
FRENCH_SPORT,GYM,1+,1.5,20.01,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
FRENCH_SPORT,GYM,2,2.0,21.03,0.4,"indoor crossover: soft below ~5.14a, stiff above (comp/board setting), converge at top; modeled offset, gyms vary"
